text,label
दुर्घटना गंभीर,accident
भूस्खलन... landslide... help,natural_disaster
हादसा हो गया,accident
नदी... river... उफान पर,natural_disaster
आग लग गई... help me,fire
Security सुरक्षा चाहिए,crime
दुर्घटना accident site,accident
कुछ something गलत है,other
बारिश... rain... बहुत है,natural_disaster
मदद चाहिए,natural_disaster
एम्बुलेंस बुलाओ,medical
Need help police,crime
Threat received,crime
Threat... धमकी... help,crime
सुरक्षित safe जगह चाहिए,natural_disaster
तूफान आ रहा,natural_disaster
घर... जल रहा... fire,fire
Need security,crime
Fire out of control,fire
Assault happening,crime
बिजली गिरी,natural_disaster
स्ट्रोक हो गया,medical
बाढ़ आ गई,natural_disaster
बचाओ... save... me,other
Unusual situation,other
फिक्र concern है,other
Vehicle crash,accident
हादसा हो गया,accident
आग बहुत तेज है,fire
In trouble,other
Car accident,accident
पहाड़ टूटा,natural_disaster
Respiratory distress,medical
भूकंप... earthquake... help,natural_disaster
मिट्टी खिसकी,natural_disaster
डकैती robbery,crime
Mudslide occurred,natural_disaster
Fire emergency... please help,fire
मरीज... patient... critical,medical
Help fire,fire
Doctor चाहिए quickly,medical
Severe pain,medical
सुरक्षित जगह चाहिए,natural_disaster
Ambulance बुलाओ,medical
Emergency इमरजेंसी है,other
Earthquake occurred,natural_disaster
Fire hai... बहुत तेज... help,fire
Patient... मरीज... बेहोश,medical
गैस सिलेंडर में आग,fire
घर में... burglar... help,crime
चिंता... worry... है,other
मदद... help... चाहिए,natural_disaster
Disaster... डिजास्टर... help,natural_disaster
हमला हुआ,crime
चोट... injury... गंभीर,medical
Building is on fire,fire
बस bus accident,accident
दुर्घटना... accident... help,accident
असामान्य unusual है,other
Medical emergency,medical
Violence वायलेंस,crime
Fire hai... बहुत तेज... help,fire
Severe pain,medical
Smoke everywhere,fire
Need security,crime
Emergency help,natural_disaster
Heart problem है,medical
Accident site,accident
Fire rescue करो,fire
Motorcycle accident,accident
सुरक्षित... safe... जगह,natural_disaster
Disaster डिजास्टर हुआ,natural_disaster
Fire spreading... help me,fire
मारपीट हो रही,crime
मुश्किल है,other
Cardiac arrest,medical
जान save करो,medical
बिल्डिंग में आग,fire
फिक्र है,other
Fire... smoke... बचाओ,fire
Fire emergency... please help,fire
किचन में आग लगी,fire
चोरी हो गई,crime
Rescue needed,natural_disaster
गाड़ी... vehicle... उलट गई,accident
क्राइम हुआ,crime
फिक्र है,other
Robbery रोबरी हो रही,crime
आग बहुत... smoke...,fire
Security threat,crime
खून... bleeding... बहुत,medical
Call police,crime
सुरक्षा चाहिए,crime
मुझे बचाओ आग से,fire
दिल की बीमारी,medical
सुनामी आ रही,natural_disaster
टक्कर collision हुई,accident
Crime... क्राइम... help,crime
टक्कर collision लगी,accident
लूट robbery हो रही,crime
दुर्घटना accident हुई,accident
बस accident,accident
लूटपाट looting हो रही,crime
कुछ something हो रहा,other
दुर्घटना accident site,accident
Stroke... attack... help,medical
कुछ something हो रहा,other
दर्द बहुत pain hai,medical
बेहोश हो गया,medical
Patient बेहोश है,medical
Medical... emergency... help,medical
बुखार है,medical
Lightning struck,natural_disaster
चोट injury लगी,medical
हादसा... help... quickly,accident
सहायता assistance चाहिए,other
जान save करो,medical
Emergency situation,other
Concerned,other
Attack on person,crime
Medical emergency,medical
आग बुझाओ quickly,fire
Assault... हमला... help,crime
आग निकल रही है,fire
Difficulty,other
Truck crash,accident
crash हो गया,accident
Fire spreading quickly,fire
Fire started,fire
खून... bleeding... बहुत,accident
Save me,other
जल्दी help चाहिए,other
Gas में fire लगी,fire
Head injury हुआ,medical
Intersection crash,accident
Gas cylinder fire,fire
Traffic accident,accident
हादसा... help... quickly,accident
Danger खतरा है,crime
समस्या... problem... है,other
अपराध... crime... हो रहा,crime
Violence occurring,crime
मरीज की हालत खराब,medical
Armed robbery,crime
दर्द... pain... बहुत है,medical
Danger खतरा है,crime
Fire hai... बहुत बड़ी... help,fire
Gun shown,crime
मदद चाहिए,natural_disaster
पानी... water... बहुत है,natural_disaster
आग control से बाहर,fire
मिट्टी खिसकी,natural_disaster
Stroke... attack... help,medical
Highway accident,accident
Difficulty,other
दुर्घटना गंभीर,accident
चिंता है,other
पिस्तौल gun दिखाई,crime
Emergency... इमरजेंसी... help,other
प्राकृतिक natural disaster,natural_disaster
Crash हो गया serious,accident
डिजास्टर हुआ,natural_disaster
जल्दी... quick... help,other
बचाओ... save... quickly,accident
Head injury,medical
गाड़ी उलट गई,accident
Fever... बुखार... help,medical
दुर्घटना... accident... serious,accident
Fire alarm,fire
पहाड़... mountain... टूटा,natural_disaster
दुर्घटना accident हुई,accident
घर... जल रहा... fire,fire
Ambulance... जल्दी... please,medical
Bus accident,accident
Violence... हिंसा... बहुत,crime
ट्रक crash,accident
Dangerous situation,crime
जल्दी quick help चाहिए,other
Injury occurred,accident
Broken bone,medical
पानी water बहुत है,natural_disaster
दुर्घटना multiple vehicles,accident
सिर में चोट,medical
चिंता worry है,other
Scared,other
Fire brigade बुलाओ,fire
Fire in apartment,fire
Bleeding heavily,medical
खून bleeding बह रहा,accident
टक्कर... collision... गंभीर,accident
परेशानी... trouble... है,other
Security सुरक्षा चाहिए,crime
Nature's fury,natural_disaster
Trauma case,medical
High fever,medical
मरीज critical है,medical
खतरा है,other
लूट लिया,crime
मदद चाहिए,other
स्मोक बहुत है,fire
आग फैल रही है,fire
बचाओ save quickly,accident
Crime क्राइम हुआ,crime
घर में burglar,crime
दिल... attack... help,medical
Medical... emergency... help,medical
मरीज बेहोश है,medical
Threat... धमकी... help,crime
Fire help चाहिए,fire
चोरी... theft... help,crime
अजीब strange लग रहा,other
पहाड़ mountain टूटा,natural_disaster
Building is on fire,fire
पिस्तौल दिखाई,crime
Theft occurred,crime
Building में fire,fire
Fire नहीं बुझ रही,fire
बिजली... lightning... गिरी,natural_disaster
Gas cylinder fire,fire
जान बचाओ,medical
आग नहीं बुझ रही,fire
अपराध हो रहा,crime
Trouble here,other
Fire नहीं बुझ रही,fire
बारिश... rain... बहुत है,natural_disaster
मारपीट fight है,crime
बाढ़ flood आ गई,natural_disaster
आग बुझाओ... जल्दी... please,fire
Assault हमला हुआ,crime
Theft occurred,crime
Fire... smoke... बचाओ,fire
नदी उफान पर,natural_disaster
दुर्घटना स्थल,accident
भूस्खलन हुआ,natural_disaster
सुरक्षित... safe... जगह,natural_disaster
Knife attack,crime
Stroke victim,medical
Security threat,crime
Lightning struck,natural_disaster
Police... पुलिस... quickly,crime
In trouble,other
तूफान बहुत तेज,natural_disaster
Fire बहुत बड़ी है,fire
Attack आया heart का,medical
Something wrong,other
Kitchen caught fire,fire
एम्बुलेंस बुलाओ,accident
मोटरसाइकिल motorcycle accident,accident
चोट injury लगी,medical
Fire department call करो,fire
Burglary in house,crime
गाड़ी car crash हो गई,accident
फायर ब्रिगेड बुलाओ,fire
Unconscious हो गया,medical
Collision occurred,accident
दिल का दौरा,medical
Hard situation,other
Heart attack आया,medical
रोबरी हो रही,crime
Security... सुरक्षा... चाहिए,crime
Attack on person,crime
Robbery... रोबरी... please,crime
मदद help चाहिए,other
इमरजेंसी है,other
दिल... attack... help,medical
गिर गया fell down,accident
चाकू knife से हमला,crime
Disaster डिजास्टर हुआ,natural_disaster
Criminal... क्रिमिनल... danger,crime
इवैक्यूएशन चाहिए,natural_disaster
आग फैल रही... quickly help,fire
जान बचाओ,medical
Burglary in house,crime
घर में चोर,crime
Heavy rainfall,natural_disaster
मुसीबत में हूं,other
तूफान... storm... help,natural_disaster
कुदरती हादसा,natural_disaster
टक्कर हुई,accident
Storm approaching,natural_disaster
पिस्तौल... gun... help,crime
Ambulance... please... जल्दी,medical
सीने में दर्द,medical
Fire department call करो,fire
Threat धमकी मिली,crime
मदद... help... चाहिए,natural_disaster
परेशानी है,other
मुझे बचाओ आग से,fire
डकैती... robbery... please,crime
Heart problem है,medical
भूकंप आया,natural_disaster
आग लगी... quickly... बचाओ,fire
Need ambulance,accident
अपराध हो रहा,crime
प्राकृतिक आपदा,natural_disaster
मदद help चाहिए,natural_disaster
कुदरती हादसा,natural_disaster
कुछ... something... गलत,other
Evacuation... इवैक्यूएशन... please,natural_disaster
चोरी theft हो गई,crime
River overflowing,natural_disaster
Chest pain,medical
बिल्डिंग में आग,fire
वायलेंस है,crime
असामान्य unusual है,other
बचाओ save जल्दी,natural_disaster
Fight breaking out,crime
बस bus accident,accident
खून बह रहा है,medical
आग... आग... help,fire
मदद help करो,other
Fire in my house,fire
Assault... हमला... help,crime
डर लग रहा,other
अटैक आया,medical
खतरा है,crime
Multiple vehicles,accident
Truck crash,accident
Natural... प्राकृतिक... emergency,natural_disaster
तूफान बहुत तेज,natural_disaster
कुछ... something... गलत,other
हादसा accident हो गया,accident
Crash... हो गया... help,accident
Smoke everywhere,fire
Head on collision,accident
मुश्किल hard है,other
Disaster happened,natural_disaster
Call doctor,medical
मेरा घर... fire... बचाओ,fire
लूटपाट looting हो रही,crime
सांस नहीं आ रही,medical
Critical condition,medical
आग निकल रही है,fire
Fire! Fire! बचाओ,fire
एम्बुलेंस बुलाओ,accident
Ambulance... please... जल्दी,medical
House burning,fire
Criminal क्रिमिनल,crime
सहायता चाहिए,other
टक्कर... collision... help,accident
मेरा घर... fire... बचाओ,fire
Head... सिर... चोट,medical
मदद... help... please,other
सुनामी tsunami आ रही,natural_disaster
Road accident,accident
जान... life... बचाओ,medical
डकैती हो रही,crime
Dangerous situation,crime
Fire बहुत बड़ी है,fire
गाड़ी car crash हो गई,accident
अपराध crime हो रहा,crime
गैस सिलेंडर में आग,fire
आग फैल रही है,fire
मेरा घर जल रहा है,fire
समस्या... problem... है,other
Bus accident,accident
सहायता... assistance... चाहिए,other
भूस्खलन landslide हुआ,natural_disaster
हमला assault हुआ,crime
Unconscious हो गया,medical
भूस्खलन हुआ,natural_disaster
Fire spreading... help me,fire
Medical help चाहिए,medical
Emergency situation,other
Stroke victim,medical
Ambulance जल्दी बुलाओ,medical
Fire department call,fire
कुछ गलत है,other
Save life,medical
Fire hai... बहुत बड़ी... help,fire
बचाओ जल्दी,accident
